source_row,vehicle_group,source_full_item_name,source_item_name,system_category,source_item_group,source_unit,normalized_uom,item_code,item_name,catalog_type,stock_item,source_qty,source_exclusive,source_vat,source_inclusive,vat_arithmetic_delta,price_status,status,review_reason,dedup_key,source_section
59,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine BUSHING SET-CON (Piece bearings),BUSHING SET-CON (Piece bearings),Engine Components,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-BUSHING-SET-CON-PIECE-BEARINGS,Nissan Navara – YD25 engine - BUSHING SET-CON (Piece bearings),stock,1,1,96315.86,17336.85,113652.71,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,BUSHING SET CON PIECE BEARINGS,Engine Components
60,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine Block Sleeve,Block Sleeve,Engine Components,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-BLOCK-SLEEVE,Nissan Navara – YD25 engine - Block Sleeve,stock,1,4,1141935.49,205548.39,1347483.88,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,BLOCK SLEEVE,Engine Components
61,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine GASKET-ENGINE (Overhaul gasket kit),GASKET-ENGINE (Overhaul gasket kit),Engine Components,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-GASKET-ENGINE-OVERHAUL-GASKET-KIT,Nissan Navara – YD25 engine - GASKET-ENGINE (Overhaul gasket kit),stock,1,1,1168164.38,210269.59,1378433.97,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,GASKET ENGINE OVERHAUL GASKET KIT,Engine Components
62,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine PUMP ASSY OIL D (Oil pump),PUMP ASSY OIL D (Oil pump),Engine Components,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-PUMP-ASSY-OIL-D-OIL-PUMP,Nissan Navara – YD25 engine - PUMP ASSY OIL D (Oil pump),stock,1,1,947179.06,170492.23,1117671.29,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,PUMP ASSY OIL D OIL PUMP,Engine Components
63,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine ROD COMP-CON (Connecting rods),ROD COMP-CON (Connecting rods),Engine Components,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-ROD-COMP-CON-CONNECTING-RODS,Nissan Navara – YD25 engine - ROD COMP-CON (Connecting rods),stock,1,4,3214020.35,578523.66,3792544.01,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,ROD COMP CON CONNECTING RODS,Engine Components
64,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine PUMP INJECTION (Injector pump),PUMP INJECTION (Injector pump),Engine Components,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-PUMP-INJECTION-INJECTOR-PUMP,Nissan Navara – YD25 engine - PUMP INJECTION (Injector pump),stock,1,1,9068237.80,1632282.80,10700520.60,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,PUMP INJECTION INJECTOR PUMP,Engine Components
65,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine injector pump service,injector pump service,Engine Components,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-INJECTOR-PUMP-SERVICE,Nissan Navara – YD25 engine - injector pump service,stock,1,1,7041935.49,1267548.39,8309483.88,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,INJECTOR PUMP SERVICE,Engine Components
66,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine Fluid Gasket (Sealant tube),Fluid Gasket (Sealant tube),Engine Components,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-FLUID-GASKET-SEALANT-TUBE,Nissan Navara – YD25 engine - Fluid Gasket (Sealant tube),stock,1,1,477003.81,85860.69,562864.50,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,FLUID GASKET SEALANT TUBE,Engine Components
67,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine FAN COOLING,FAN COOLING,Engine Components,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-FAN-COOLING,Nissan Navara – YD25 engine - FAN COOLING,stock,1,1,599362.65,107885.28,707247.93,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,FAN COOLING,Engine Components
68,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine Canshaft pulley,Canshaft pulley,Engine Components,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-CANSHAFT-PULLEY,Nissan Navara – YD25 engine - Canshaft pulley,stock,1,1,411299.11,74033.84,485332.95,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,CANSHAFT PULLEY,Engine Components
69,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine Crankshaft pulley,Crankshaft pulley,Engine Components,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-CRANKSHAFT-PULLEY,Nissan Navara – YD25 engine - Crankshaft pulley,stock,1,1,833833.36,150090.00,983923.36,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,CRANKSHAFT PULLEY,Engine Components
72,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine FAN ASSY-COND (AC fan shroud),FAN ASSY-COND (AC fan shroud),Engine Cooling System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-FAN-ASSY-COND-AC-FAN-SHROUD,Nissan Navara – YD25 engine - FAN ASSY-COND (AC fan shroud),stock,1,1,235609.83,42409.77,278019.60,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,FAN ASSY COND AC FAN SHROUD,Engine Cooling System
73,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine Shroud-rad.lowe (Cooling fan shroud),Shroud-rad.lowe (Cooling fan shroud),Engine Cooling System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-SHROUD-RAD-LOWE-COOLING-FAN-SHROUD,Nissan Navara – YD25 engine - Shroud-rad.lowe (Cooling fan shroud),stock,1,1,763937.03,137508.67,901445.70,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,SHROUD RAD LOWE COOLING FAN SHROUD,Engine Cooling System
74,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine Radiator assy,Radiator assy,Engine Cooling System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-RADIATOR-ASSY,Nissan Navara – YD25 engine - Radiator assy,stock,1,1,4285040.53,771307.30,5056347.83,-0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,RADIATOR ASSY,Engine Cooling System
75,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine CAP ASSY-PRESSU (Radiator cap),CAP ASSY-PRESSU (Radiator cap),Engine Cooling System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-CAP-ASSY-PRESSU-RADIATOR-CAP,Nissan Navara – YD25 engine - CAP ASSY-PRESSU (Radiator cap),stock,1,1,56906.07,10243.09,67149.16,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,CAP ASSY PRESSU RADIATOR CAP,Engine Cooling System
76,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine MOUNTING RUBBER (Upper radiator mountings),MOUNTING RUBBER (Upper radiator mountings),Engine Cooling System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-MOUNTING-RUBBER-UPPER-RADIATOR-MOUNTINGS,Nissan Navara – YD25 engine - MOUNTING RUBBER (Upper radiator mountings),stock,1,2,59769.36,10758.48,70527.84,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,MOUNTING RUBBER UPPER RADIATOR MOUNTINGS,Engine Cooling System
77,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine RUBBER-MOUNTING (Lower radiator mounting),RUBBER-MOUNTING (Lower radiator mounting),Engine Cooling System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-RUBBER-MOUNTING-LOWER-RADIATOR-MOUNTING,Nissan Navara – YD25 engine - RUBBER-MOUNTING (Lower radiator mounting),stock,1,2,47855.77,8614.04,56469.81,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,RUBBER MOUNTING LOWER RADIATOR MOUNTING,Engine Cooling System
78,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine HOSE-RESERVE TA (Reserve tank pipe),HOSE-RESERVE TA (Reserve tank pipe),Engine Cooling System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-HOSE-RESERVE-TA-RESERVE-TANK-PIPE,Nissan Navara – YD25 engine - HOSE-RESERVE TA (Reserve tank pipe),stock,1,1,25352.34,4563.42,29915.76,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,HOSE RESERVE TA RESERVE TANK PIPE,Engine Cooling System
79,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine Nozzle Washer (Wiper nozzles),Nozzle Washer (Wiper nozzles),Engine Cooling System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-NOZZLE-WASHER-WIPER-NOZZLES,Nissan Navara – YD25 engine - Nozzle Washer (Wiper nozzles),stock,1,2,103769.05,18678.43,122447.48,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,NOZZLE WASHER WIPER NOZZLES,Engine Cooling System
80,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine TANK ASSY-RESER (Reservoir tank),TANK ASSY-RESER (Reservoir tank),Engine Cooling System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-TANK-ASSY-RESER-RESERVOIR-TANK,Nissan Navara – YD25 engine - TANK ASSY-RESER (Reservoir tank),stock,1,1,336299.78,60533.96,396833.74,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,TANK ASSY RESER RESERVOIR TANK,Engine Cooling System
81,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine BODY-CLEANER (Air cleaner housing),BODY-CLEANER (Air cleaner housing),Engine Cooling System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-BODY-CLEANER-AIR-CLEANER-HOUSING,Nissan Navara – YD25 engine - BODY-CLEANER (Air cleaner housing),stock,1,1,785346.95,141362.45,926709.40,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,BODY CLEANER AIR CLEANER HOUSING,Engine Cooling System
82,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine PUMP ASSY-WATER (Water pump),PUMP ASSY-WATER (Water pump),Engine Cooling System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-PUMP-ASSY-WATER-WATER-PUMP,Nissan Navara – YD25 engine - PUMP ASSY-WATER (Water pump),stock,1,1,1786188.76,321513.98,2107702.74,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,PUMP ASSY WATER WATER PUMP,Engine Cooling System
83,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine ENGINE COOLANT,ENGINE COOLANT,Engine Cooling System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-ENGINE-COOLANT,Nissan Navara – YD25 engine - ENGINE COOLANT,stock,1,1,181394.39,32650.99,214045.38,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,ENGINE COOLANT,Engine Cooling System
84,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine GASKET-WATER PU (Water pump gasket),GASKET-WATER PU (Water pump gasket),Engine Cooling System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-GASKET-WATER-PU-WATER-PUMP-GASKET,Nissan Navara – YD25 engine - GASKET-WATER PU (Water pump gasket),stock,1,1,27395.49,4931.19,32326.68,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,GASKET WATER PU WATER PUMP GASKET,Engine Cooling System
85,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine TANK ASSY -WS WASH (Wiper tank tank),TANK ASSY -WS WASH (Wiper tank tank),Engine Cooling System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-TANK-ASSY-WS-WASH-WIPER-TANK-TANK,Nissan Navara – YD25 engine - TANK ASSY -WS WASH (Wiper tank tank),stock,1,1,167998.81,30239.79,198238.60,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,TANK ASSY WS WASH WIPER TANK TANK,Engine Cooling System
88,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine FILTER ASSY-OIL (Oil filter),FILTER ASSY-OIL (Oil filter),Engine Oil System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-FILTER-ASSY-OIL-OIL-FILTER,Nissan Navara – YD25 engine - FILTER ASSY-OIL (Oil filter),stock,1,1,105581.99,19004.76,124586.75,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,FILTER ASSY OIL OIL FILTER,Engine Oil System
89,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine CAP ASSY-OIL FI (Oil filler cap),CAP ASSY-OIL FI (Oil filler cap),Engine Oil System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-CAP-ASSY-OIL-FI-OIL-FILLER-CAP,Nissan Navara – YD25 engine - CAP ASSY-OIL FI (Oil filler cap),stock,1,1,14115.01,2540.70,16655.71,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,CAP ASSY OIL FI OIL FILLER CAP,Engine Oil System
90,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine PUMP ASSY OIL D (Oil pump),PUMP ASSY OIL D (Oil pump),Engine Oil System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-PUMP-ASSY-OIL-D-OIL-PUMP,Nissan Navara – YD25 engine - PUMP ASSY OIL D (Oil pump),stock,1,1,947179.06,170492.23,1117671.29,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,PUMP ASSY OIL D OIL PUMP,Engine Oil System
91,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine HOSE-WATER (Oil cooler pipe),HOSE-WATER (Oil cooler pipe),Engine Oil System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-HOSE-WATER-OIL-COOLER-PIPE,Nissan Navara – YD25 engine - HOSE-WATER (Oil cooler pipe),stock,1,1,87797.94,15803.63,103601.57,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,HOSE WATER OIL COOLER PIPE,Engine Oil System
92,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine COOLER OIL (Oil cooler),COOLER OIL (Oil cooler),Engine Oil System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-COOLER-OIL-OIL-COOLER,Nissan Navara – YD25 engine - COOLER OIL (Oil cooler),stock,1,1,5828606.12,1049149.10,6877755.22,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,COOLER OIL OIL COOLER,Engine Oil System
93,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine STRAINER OIL (Oil strainer),STRAINER OIL (Oil strainer),Engine Oil System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-STRAINER-OIL-OIL-STRAINER,Nissan Navara – YD25 engine - STRAINER OIL (Oil strainer),stock,1,1,207667.59,37380.17,245047.76,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,STRAINER OIL OIL STRAINER,Engine Oil System
94,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine GAUGE OIL LEVEL (Dipstick),GAUGE OIL LEVEL (Dipstick),Engine Oil System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-GAUGE-OIL-LEVEL-DIPSTICK,Nissan Navara – YD25 engine - GAUGE OIL LEVEL (Dipstick),stock,1,1,78733.26,14171.99,92905.25,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,GAUGE OIL LEVEL DIPSTICK,Engine Oil System
95,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine PAN ASSY-OIL (Oil pan),PAN ASSY-OIL (Oil pan),Engine Oil System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-PAN-ASSY-OIL-OIL-PAN,Nissan Navara – YD25 engine - PAN ASSY-OIL (Oil pan),stock,1,1,779131.17,140243.61,919374.78,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,PAN ASSY OIL OIL PAN,Engine Oil System
96,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine BRACKET-OIL FIL (Oil filter bracket),BRACKET-OIL FIL (Oil filter bracket),Engine Oil System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-BRACKET-OIL-FIL-OIL-FILTER-BRACKET,Nissan Navara – YD25 engine - BRACKET-OIL FIL (Oil filter bracket),stock,1,1,408198.54,73475.74,481674.28,-0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,BRACKET OIL FIL OIL FILTER BRACKET,Engine Oil System
97,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine WASHER DRAIN (Drain plug washer),WASHER DRAIN (Drain plug washer),Engine Oil System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-WASHER-DRAIN-DRAIN-PLUG-WASHER,Nissan Navara – YD25 engine - WASHER DRAIN (Drain plug washer),stock,1,1,6273.34,1129.20,7402.54,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,WASHER DRAIN DRAIN PLUG WASHER,Engine Oil System
100,Nissan Navara – YD25 engine,"Nissan Navara – YD25 engine MFLR ASSY (Exhaust pipe complete( Silencers,pipes etc))","MFLR ASSY (Exhaust pipe complete( Silencers,pipes etc))",Exhaust System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-MFLR-ASSY-EXHAUST-PIPE-COMPLETE-SILENCERS-PIPES-ETC,"Nissan Navara – YD25 engine - MFLR ASSY (Exhaust pipe complete( Silencers,pipes etc))",stock,1,1,1000064.84,180011.67,1180076.51,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,MFLR ASSY EXHAUST PIPE COMPLETE SILENCERS PIPES ETC,Exhaust System
101,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine CONVERTER ASSY (Catalytic converter),CONVERTER ASSY (Catalytic converter),Exhaust System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-CONVERTER-ASSY-CATALYTIC-CONVERTER,Nissan Navara – YD25 engine - CONVERTER ASSY (Catalytic converter),stock,1,1,4752196.49,855395.37,5607591.86,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,CONVERTER ASSY CATALYTIC CONVERTER,Exhaust System
102,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine BOLT (Exhaust bolt),BOLT (Exhaust bolt),Exhaust System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-BOLT-EXHAUST-BOLT,Nissan Navara – YD25 engine - BOLT (Exhaust bolt),stock,1,1,6359.67,1144.74,7504.41,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,BOLT EXHAUST BOLT,Exhaust System
103,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine BOLT HEX HD (Exhaust bolt),BOLT HEX HD (Exhaust bolt),Exhaust System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-BOLT-HEX-HD-EXHAUST-BOLT,Nissan Navara – YD25 engine - BOLT HEX HD (Exhaust bolt),stock,1,4,95193.57,17134.84,112328.41,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,BOLT HEX HD EXHAUST BOLT,Exhaust System
104,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine BOLT (Exhaust bolt),BOLT (Exhaust bolt),Exhaust System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-BOLT-EXHAUST-BOLT,Nissan Navara – YD25 engine - BOLT (Exhaust bolt),stock,1,6,38158.00,6868.44,45026.44,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,BOLT EXHAUST BOLT,Exhaust System
105,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine SCR-HEX HD PP W (Exhaust bolt),SCR-HEX HD PP W (Exhaust bolt),Exhaust System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-SCR-HEX-HD-PP-W-EXHAUST-BOLT,Nissan Navara – YD25 engine - SCR-HEX HD PP W (Exhaust bolt),stock,1,2,43337.82,7800.81,51138.63,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,SCR HEX HD PP W EXHAUST BOLT,Exhaust System
106,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine CLAMP-EXH MTG (exhaust clamp),CLAMP-EXH MTG (exhaust clamp),Exhaust System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-CLAMP-EXH-MTG-EXHAUST-CLAMP,Nissan Navara – YD25 engine - CLAMP-EXH MTG (exhaust clamp),stock,1,1,170272.17,30648.99,200921.16,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,CLAMP EXH MTG EXHAUST CLAMP,Exhaust System
107,Nissan Navara – YD25 engine,"Nissan Navara – YD25 engine Gasket, exhaust Big (Exhaust manifold gasket)","Gasket, exhaust Big (Exhaust manifold gasket)",Exhaust System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-GASKET-EXHAUST-BIG-EXHAUST-MANIFOLD-GASKET,"Nissan Navara – YD25 engine - Gasket, exhaust Big (Exhaust manifold gasket)",stock,1,1,21913.51,3944.43,25857.94,-0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,GASKET EXHAUST BIG EXHAUST MANIFOLD GASKET,Exhaust System
108,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine Bracket - Exh M (Exhaust mounting bracket),Bracket - Exh M (Exhaust mounting bracket),Exhaust System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-BRACKET-EXH-M-EXHAUST-MOUNTING-BRACKET,Nissan Navara – YD25 engine - Bracket - Exh M (Exhaust mounting bracket),stock,1,2,95481.34,17186.64,112667.98,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,BRACKET EXH M EXHAUST MOUNTING BRACKET,Exhaust System
109,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine INSUL EXH MTG (Exhaust mounting),INSUL EXH MTG (Exhaust mounting),Exhaust System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-INSUL-EXH-MTG-EXHAUST-MOUNTING,Nissan Navara – YD25 engine - INSUL EXH MTG (Exhaust mounting),stock,1,1,159754.26,28755.77,188510.03,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,INSUL EXH MTG EXHAUST MOUNTING,Exhaust System
110,Nissan Navara – YD25 engine,"Nissan Navara – YD25 engine MNTG Bracket (Exhaust mounting, front)","MNTG Bracket (Exhaust mounting, front)",Exhaust System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-MNTG-BRACKET-EXHAUST-MOUNTING-FRONT,"Nissan Navara – YD25 engine - MNTG Bracket (Exhaust mounting, front)",stock,1,1,114215.02,20558.70,134773.72,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,MNTG BRACKET EXHAUST MOUNTING FRONT,Exhaust System
111,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine BRKT EXH MTG (Exhaust pipe bracket),BRKT EXH MTG (Exhaust pipe bracket),Exhaust System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-BRKT-EXH-MTG-EXHAUST-PIPE-BRACKET,Nissan Navara – YD25 engine - BRKT EXH MTG (Exhaust pipe bracket),stock,1,1,27366.71,4926.01,32292.72,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,BRKT EXH MTG EXHAUST PIPE BRACKET,Exhaust System
112,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine Insul-heat Exh (Exhaust insulator),Insul-heat Exh (Exhaust insulator),Exhaust System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-INSUL-HEAT-EXH-EXHAUST-INSULATOR,Nissan Navara – YD25 engine - Insul-heat Exh (Exhaust insulator),stock,1,1,32071.72,5772.91,37844.63,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,INSUL HEAT EXH EXHAUST INSULATOR,Exhaust System
115,Nissan Navara – YD25 engine,"Nissan Navara – YD25 engine INJECTOR-FUEL (Injector Nozzle, complete)","INJECTOR-FUEL (Injector Nozzle, complete)",Fuel Supply System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-INJECTOR-FUEL-INJECTOR-NOZZLE-COMPLETE,"Nissan Navara – YD25 engine - INJECTOR-FUEL (Injector Nozzle, complete)",stock,1,4,15972836.29,2875110.53,18847946.82,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,INJECTOR FUEL INJECTOR NOZZLE COMPLETE,Fuel Supply System
116,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine 16401-VC10C COVER-UPPER (Fuel Lift pump),16401-VC10C COVER-UPPER (Fuel Lift pump),Fuel Supply System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-16401-VC10C-COVER-UPPER-FUEL-LIFT-PUMP,Nissan Navara – YD25 engine - 16401-VC10C COVER-UPPER (Fuel Lift pump),stock,1,1,245634.39,44214.19,289848.58,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,16401 VC10C COVER UPPER FUEL LIFT PUMP,Fuel Supply System
